"Manufacturer Name","Model Name","HardWare Number","FirmWare Number","Application Number","Approval Number","Version","Product Type","Expiry Date","Approval Class","PIN Support","Key Management","Prompt Control","PIN Entry Technology","Functions Provided","not_marketed"
"Advanced Card Systems Limited","ACR900","4.00.xx","1.00.05","1.0","4-40198","4.x","PED","30 Apr 2023","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Acquirer-controlled","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry,OP","0"
"Advanced Mobile Payment Inc.","AMP7000","AMP7000-XX","1.X.X","","4-60190","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Acquirer-controlled","Physical Keypad","Display,ICCR,MSR,PIN Entry,OP","0"
"Advanced Mobile Payment Inc.","AMP3000","AMP3000-XX","V2.X.X","","4-60192","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Acquirer-controlled","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"Advanced Mobile Payment Inc.","AMP5000","AMP5000-XX","V2.0X.X","","4-60193","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Acquirer-controlled","Physical Keypad","Display,ICCR,MSR,PIN Entry,OP","0"
"Advanced Mobile Payment Inc.","AMP9000","AMP9000-XX","1.X.X","","4-60194","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Acquirer-controlled","Physical Keypad","Display,ICCR,MSR,PIN Entry,OP","0"
"Advanced Mobile Payment Inc.","AMP8000","AMP8000-X0","1.2-XXXXXX-Secure","","4-60211","4.x","PED","30 Apr 2023","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Acquirer-controlled","Touch Screen","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"Advanced Mobile Payment Inc.","AMP 6700","AMP 6700-XX-X","1.3-XXXXXX-Secure","","4-60214","4.x","PED","30 Apr 2023","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Acquirer-controlled","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"Advanced Mobile Payment Inc.","AMP 8000","AMP 8000-1xx (without CTLS), AMP 8000-2xx (with CTLS)","2.1-xxxxxx-Secure","","4-30308","5.x","PED","30 Apr 2026","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Acquirer-controlled","Touch Screen","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"Advanced Mobile Payment Inc.","AMP 8200","AMP 8200-1xx (without CTLS), AMP 8200-2xx (with CTLS)","2.1-xxxxxx-Secure","","4-30300","5.x","PED","30 Apr 2026","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Acquirer-controlled","Touch Screen","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"Advanced Mobile Payment Inc.","AMP 1200","AMP 1200","2.2-xxxxxx-Secure","","4-30309","5.x","PED","30 Apr 2026","PED","Online","Fixed,MK/SK,DUKPT","Acquirer-controlled","Physical Keypad","Display,CTLS,PIN Entry,SRED","0"
"Advanced Mobile Payment Inc.","AMP2000","AMP2000-XO","1.0.5","","4-60202","4.x","PED","30 Apr 2023","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Acquirer-controlled","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"AEVI International GmbH","MTPT10 Payment Terminal","MTPT 10Pxxx1 001005, MTPT 10Pxxx1 002006, MTPT 10Pxxx0 002006, MTPT 10Pxxx0 002005, MTPT 10Pxxx1 002005, MTPT 10Pxxx1 002007, MTPT 10Pxxx0 002007, MTPT 10Pxxx1 003007, MTPT 10Pxxx0 003007, MTPT 10Pxxx0 003010, MTPT 10Pxxx1 003010, MTPT 10Pxxx0 002010, MTPT 10Pxxx1 002010, MTPT 10Pxxx0 004011, MTPT 10Pxxx1 004011","5.xx, 6.xx, 7.xx, 10.xx (Non SRED), 11.xx (SRED)","","4-80018","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","MK/SK,DUKPT","Acquirer-controlled","Touch Screen","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"AISOLUTION","KDC500","KDC500-xx0002-xxx, KDC500-xx0100-xxx","F01.02.0B (Non SRED), FX1.05.02 (SRED)","","4-10186","4.x","PED","30 Apr 2023","PED","Online &amp; Offline","DUKPT","Vendor-controlled","Touch Screen","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"Allegro Services Inc","AMG9000","V1.2","v1.01, V1.01","","4-90010","4.x","PED","30 Apr 2023","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Acquirer-controlled","Touch Screen","Display,ICCR,MSR,CTLS,PIN Entry,OP","0"
"ALX TECHNOLOGIES","eCARB","1.1.xx","ALX_TERMINAL_SW: V1.x, ALX_LECTEUR_SW: V1.x, TPI: V1.x.x, OS: V1.x","","4-80026","4.x","PED","30 Apr 2023","PED","Offline","N/A","Vendor-controlled","Touch Screen","Display,ICCR,MSR,CTLS,PIN Entry,OP","0"
"Anywhere Commerce","Nomad","1.1","SRED: 0300","","4-10114","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","DUKPT","N/A","Physical Keypad","ICCR,MSR,PIN Entry,SRED","1"
"Anywhere Commerce","Nomad 2.0","Nomad2.0-A1-B1, Nomad2.0-A2-B1","020004, 4.0 (SRED), 5.0 (SRED)","","4-10149","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Vendor-controlled","Physical Keypad","Display,ICCR,MSR,PIN Entry,OP,SRED","0"
"Arcelik A.S.","BEKO 220TR","220TR-HW-v1.0","1.0, 1.1","","4-40098","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Acquirer-controlled","Physical Keypad","Display,ICCR,MSR,PIN Entry,OP,SRED","0"
"Arcelik A.S.","BEKO 300TR","","","","4-40155","4.x","PED","30 Apr 2023","PED","Online &amp; Offline","MK/SK,DUKPT","Acquirer-controlled","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"Arcelik A.S.","BEKO 220TR","220TR-HW-V1.2","002x-001x-002x-002x","","4-80029","4.x","PED","30 Apr 2023","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Acquirer-controlled","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"Avixy Tecnologia","Avixy 4000","2-2.x","1-3.x","","4-60198","4.x","PED","30 Apr 2023","PED","Online &amp; Offline","DUKPT","Acquirer-controlled","Physical Keypad","Display,ICCR,MSR,PIN Entry,OP","0"
"BBPOS International Limited","G5X","2.0","SRED: 1.2","","4-10141","3.x","SCR","30 Apr 2020","SCR","N/A","Fixed,DUKPT","N/A","N/A","MSR,SRED","1"
"BBPOS International Limited","WisePad, WisePad W300","WisePad-A1-B0 (WisePad), WisePad-A1-B2 (WisePad W300), WisePad-A2-B0 (WisePad), WisePad-A2-B2 (WisePad W300), WisePad-B1-B0 (WisePad), WisePad-B1-B2 (WisePad W300)","020004, SRED: 4.0, 5.0","","4-10146","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Vendor-controlled","Physical Keypad","Display,ICCR,MSR,PIN Entry,OP,SRED","0"
"BBPOS International Limited","WSX1, WSX2","WSX-1000-01-001, WSX1XXX-XX-XXX (WSX1), WSX2XXX-XX-XXX (WSX2)","WSX1.002-02, WSX1.002-02 (WSX1), WSX1.002-06 (WSX2)","","4-10204","4.x","PED","30 Apr 2023","PED","Online &amp; Offline","DUKPT","N/A","Physical Keypad","ICCR,MSR,CTLS,PIN Entry,SRED","0"
"BBPOS International Limited","WisePad 2","WPX2XXXX-XX-XXX","WPX20.003-12, WPX20.005-00","","4-10198","4.x","PED","30 Apr 2023","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Vendor-controlled","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"BBPOS International Limited","WisePad 2 Plus","WPP2XXXX-XX-XXX","WPP20.003-20, WPP21.005-00","","4-10221","4.x","PED","30 Apr 2023","PED","Online &amp; Offline","DUKPT","Vendor-controlled","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"Beijing Watchdata Co., Ltd.","W9110","P.03.20.xx.x","0D010202.22.xxxx.xxx.xxx","","4-30277","4.x","PED","30 Apr 2023","PED","Online","MK/SK,DUKPT","Acquirer-controlled","Touch Screen","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"Beijing Weipass Panorama Information Technology Co.,Ltd.","WPOS-3","P1","SP_V1.20_B0T0_xxxxxx, SP_V1.21_B0T0_xxxxxx","Ver1.16","4-30264","4.x","PED","30 Apr 2023","PED","Online &amp; Offline","MK/SK,DUKPT","Vendor-controlled","Touch Screen","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"Beijing Weipass Panorama Information Technology Co.,Ltd.","WPOS-MINI","P1","V1.5_00.01","","4-30315","5.x","PED","30 Apr 2026","PED","Online &amp; Offline","MK/SK,DUKPT","Acquirer-controlled","Touch Screen","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"Bennett Pump Company","Simply Secure Payment (SSP)","Part Number: 124645 (Including: Secure Card Reader P/N: 123240, Display P/N: 117417, Debit CPU P/N: (124529 or 124530), and EPP with Approval Number 4-20268), Part Number: 129330 (Including: Secure Card Reader P/N: 123240, SBC: RSB-4410, Debit CPU P/N:(124529 or 124530), and EPP with Approval Number 4-20268)), and EPP with Approval Number 4-20268)); Part Number: 131863 (including: Secure Card Reader P/N: 133724, Display P/N: 126974, Control Board P/N: 129313, and EPP with Approval Number: 4-20268)","3.XX.XX, 5.XX.XX","","4-70017","3.x","UPT","30 Apr 2020","UPT","Online","Fixed,MK/SK,DUKPT","Acquirer-controlled","Physical Keypad","Display,MSR,PIN Entry","0"
"Bitel co., ltd","IC3500","IC3500hw2v2","IC3500fw2v3 (app B1408260)","","4-40147","4.x","PED","30 Apr 2023","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Vendor-controlled","Touch Screen","Display,ICCR,MSR,PIN Entry","0"
"Bitel co., ltd","IC3600","IC3600hw4v0","IC3600fw2v3","","4-40181","4.x","PED","30 Apr 2023","PED","Online &amp; Offline","MK/SK,DUKPT","Acquirer-controlled","Touch Screen","Display,ICCR,MSR,PIN Entry","0"
"Bitel co., ltd","IC5500","IC5500hw3v0","IC5500fw2v3","B1410210","4-40160","4.x","PED","30 Apr 2023","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Vendor-controlled","Physical Keypad","Display,ICCR,MSR,PIN Entry","0"
"Bitel co., ltd","IC5100","IC5100hw1v0","IC5100fw2v3","IC5100 B1706210","4-40219","4.x","PED","30 Apr 2023","PED","Online &amp; Offline","MK/SK,DUKPT","Vendor-controlled","Touch Screen","Display,ICCR,MSR,PIN Entry","0"
"Blue Bamboo","P200","V02","1.0","","4-60129","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Vendor-controlled","Physical Keypad","Display,ICCR,MSR,PIN Entry","0"
"Bluebird Inc.","BIP-1500 PINPAD","1.0","SRED: 2.0","","4-60142","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Acquirer-controlled","Physical Keypad","Display,ICCR,MSR,PIN Entry,SRED","0"
"Bluebird Inc.","CT360","CT3xx-x-xXXxxxxx2x","Security controller: 1.2.4; 1.2.6, Loader: 2.0.0, MOBM: 2.0.0, ULDR:  2.0.0, Kernel: 13056;","","4-30107","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Acquirer-controlled","Physical Keypad","Display,ICCR,MSR,PIN Entry,OP,CTLS","0"
"Bluebird Inc.","MT760, MT760S","MT7xx-x-BCAxxRxT2x","Secure controller: 1.2.4, 1.2.6, Loader: 2.0.0, MOBM: 2.0.0, ULDR: 1.04, 2.0.0, Kernel:13102","","4-30105","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Acquirer-controlled","Touch Screen","Display,ICCR,MSR,PIN Entry,OP,CTLS","0"
"Bluebird Inc.","MT360, MT360B, MT360E","MT3xx-x-xxxxxxx2x, MT360E-x-xxXxxxxxx","Secure controller: 1.2.4, 1.2.6, 1.4.1, Loader: 2.0.0, MOBM: 2.0.0, ULDR: 1.04, 2.0.0, Kernel:13072","","4-30108","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Acquirer-controlled","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry,OP","0"
"Bluebird Inc.","EP330 and EP360","EP330-x-xxxxxx, EP360-x-xxxxxx","SRED: (CTLS):  S2BL: 1; UBOOT:1; KERNEL: 2; BBPCID: 2","EMV Kernel: Bluebird Payment EMV Kernel 3.0","4-40121","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Vendor-controlled","Touch Screen","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"Bluebird Inc.","CT280 (P3500)","CT280-xxxx1xxxxxxxx, P3500-x1xxxxxxxx","xxx.xxx.001","1.0.0","4-40162","4.x","PED","30 Apr 2023","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Vendor-controlled","Physical Keypad","Display,ICCR,MSR,PIN Entry,OP","0"
"Bluebird Inc.","MT280","MT280-xxxx1xxxxxxxx","xxx.xxx.001","1.0.0 (Key Loading Application)","4-40172","4.x","PED","30 Apr 2023","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Vendor-controlled","Physical Keypad","Display,ICCR,MSR,PIN Entry,OP,SRED","0"
"Bull S.A.S","Crypt2Pay, Crypt2Protect","005/A","8.05-04-I, 8.05-07-I, 8.05-13I (The integral version), 8.05-13D (The CB version), 8.06-12I (The integral version), 8.06-12D (The CB version), 12.01-06I (The integral version), 12.01-06D (The CB version), V12.02-06I (The integral version), V12.02-06D (the CB version)","","4-30106","1.x","HSM","30 Apr 2019","HSM","N/A","Fixed,MK/SK,DUKPT","N/A","N/A","N/A","0"
"Bull S.A.S","Crypt2Pay/Crypt2protect XT","Bull CHR 006/A","12.01-06D, 12.01-06I, V12.02-06I (The integral version), V12.02-06D (The CB version)","","4-30240","2.x","HSM","30 Apr 2022","HSM","N/A","Fixed,MK/SK,DUKPT","N/A","N/A","Display","0"
"Canon Electronics INC.","S43400","1.0x","1.01, 1.1.1","","4-40176","4.x","PED","30 Apr 2023","PED","Online &amp; Offline","DUKPT","Vendor-controlled","Physical Keypad","Display,ICCR,MSR,PIN Entry,SRED","0"
"Castles Technology Co. Ltd","Vega5000S","VEGA5000S-HW-v1.0","SRED: V1.1","v1.01","4-40091","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Acquirer-controlled","Physical Keypad","Display,ICCR,MSR,PIN Entry,OP,SRED","0"
"Castles Technology Co. Ltd","Vega3000","V1.0, VEGA3000-HW-V1.1, VEGA3000-HW-1.2 (CTLS)","SRED (Non CTLS) : VP013, SRED (CTLS): 1.0.1.1","","4-40101","3.x","PED","30 Apr 2020","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Acquirer-controlled","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"Castles Technology Co. Ltd","MP200","MP200-HW-v1.01, MP200-HW-v1.02","xxxx-xxxx-xxxx-0025","","4-40159","4.x","PED","30 Apr 2023","PED","Online &amp; Offline","MK/SK,DUKPT","Acquirer-controlled","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"Castles Technology Co. Ltd","VEGA3000 UltraLite","VEGA3000-UL-HW-V1.02.xxxx, VEGA3000-UL-HW-V1.03.xxxx","001x-001x-002x-001x-0025","","4-80017","4.x","PED","30 Apr 2023","PED","Online","Fixed,MK/SK,DUKPT","Acquirer-controlled","Physical Keypad","Display,CTLS,PIN Entry,SRED","0"
"Castles Technology Co. Ltd","MARS1000, UPT1000","MARS1000-HW-V1.01.xxxx","002x-001x-002x-001x-0026","","4-80020","4.x","PED","30 Apr 2023","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Acquirer-controlled","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"Castles Technology Co. Ltd","VEGA3000","VEGA3000-HW-v1.3.xxxx","xxxx-xxxx-xxxx-xxxx-0027","","4-40195","4.x","PED","30 Apr 2023","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Acquirer-controlled","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"Castles Technology Co. Ltd","MP200","MP200-HW-v1.04, MP200-HW-v1.05","xxxx-xxxx-xxxx-0026, 001x-001x-002x-002x-0027","","4-40173","4.x","PED","30 Apr 2023","PED","Online &amp; Offline","Fixed,MK/SK,DUKPT","Acquirer-controlled","Physical Keypad","Display,ICCR,MSR,CTLS,PIN Entry,OP,SRED","0"
"Castles Technology Co. Ltd","UPT2000","UPT2000-HW-V1.02-xxxx","002x-001x-002x-001x-0026","","4-80024","4.x","OEM EPP","30 Apr 2023","EPP","Online","Fixed,MK/SK,DUKPT","Acquirer-controlled","Physical Keypad","Display,PIN Entry,OP","0"
"Castles Technology Co. Ltd","UPT2000 Lite","UPT2000-HW-V1.02-xxxx","002x-001x-002x-001x-0026","","4-80025","4.x","OEM EPP","30 Apr 2023","EPP","Online","Fixed,MK/SK,DUKPT","N/A","Physical Keypad","PIN Entry,OP","0"
