"company","website","product name","email","locations served","certificate number"
"@ Mediaservice.net S.R.L.","www.mediaservice.net","PCI ASV Service 2017","pci@mediaservice.net","Global"," 5039-01-07"
"AccessIT Group, Inc","www.accessitgroup.com","AccessIT Group ASV","Petem@accessitgroup.com","Global"," 5086-01-01"
"Alert Logic, Inc.","www.alertlogic.com","Alert Logic Cloud Defender PCI Scan","support@alertlogic.com","North America, Europe, Japan"," 4222-01-12"
"Ambersail Ltd.","www.ambersail.com","Ambersail Assured","enquiries@ambersail.com","Europe, CEMEA, Asia Pacific"," 3752-01-12"
"Aperia Solutions","www.aperiasolutions.com/","Aperia Pro Scan","jnix@aperiasolutions.com","Global"," 5051-01-07"
"AppSec Consulting","www.appsecconsulting.com","AppSec Certified","info@appsecconsulting.com","North America"," 3834-01-12"
"ARinteg LLC","www.arinteg.ru","ARinteg PCI ASV Scan","asv@arinteg.ru","Global"," 5081-01-02"
"AT&T Consulting Solutions","www.corp.att.com/consulting/security/","AT&T SureScan","pci@att.com","Global"," 5024-01-07"
"atsec (Beijing) Information Technology Co., Ltd","www.atsec.com/","atsec PCI Scanning and Compliance","info_cn@atsec.com","Global"," 5050-01-07"
"Backbone Security, Inc.","www.1stoppciscan.com","1 Stop PCI Scan","pciscan@backbonesecurity.com","Global"," 4009-01-12"
"BCC Risk Advisory dba Edgescan","www.edgescan.com","edgescan","Ger Heffernan Ger@edgescan.com","Global"," 5089-01-01"
"Beijing Unionpay Card Technology Co. LTD","www.bctest.com","BCTC PCI-ASV","liu.sp@bctest.com","Global"," 5064-01-04"
"Beyond Security","www.beyondsecurity.com","Automated Vulnerability Detection System (AVDS)","sales@beyondsecurity.com","Global"," 5031-01-08"
"BeyondTrust Software, Inc.","www.beyondtrust.com/","Retina Enterprise","PCI@beyondtrust.com","Global"," 5014-01-08"
"Biznet Bilisim Sistemleri A.S","www.biznet.com.tr","BizZY PCI ASV Scanning Services","info@biznet.com.tr","Global"," 4032-01-12"
"BMS Consulting LLC","www.bms-consulting.com","BMS ASV Platform","asv@bms-consulting.com","Global"," 5008-01-09"
"Capita IT Services Limited","www.westpoint.ltd.uk","Westpoint PCI Scan","pci@westpoint.ltd.uk","Global"," 3974-01-12"
"Clone Systems, Inc.","www.clone-systems.com","Active-Now Clone Guard PCI","pci@clone-systems.com","Global"," 4262-01-10"
"Coalfire Systems, Inc","www.coalfiresystems.com","CoalfireOne Scans","scans@coalfiresystems.com","Global"," 3782-01-12"
"Cognosec GmbH","www.cognosec.com","PCI Scan 360","asv@cognosec.com","Global"," 5059-01-05"
"Comodo CA Ltd","www.comodo.com","HackerGuardian PCI Scanning Service","pci@comodo.com","Global"," 4172-01-11"
"Context Information Security Ltd","www.contextis.co.uk","Context IS ASV Scan and Test 2018-19","andrew.turner@contextis.co.uk","Europe, Asia Pacific"," 4217-01-10"
"ControlCase, LLC","www.controlcase.com","ControlCase GRC","contact@controlcase.com","Global"," 4250-01-11"
"ControlScan","www.controlscan.com","PCI-1-2-3","pci@controlscan.com","Global"," 5045-01-07"
"Deloitte LLP","www.deloitte.com","Deloitte Scanning Solution - 2017","stang@deloitte.ca","Global"," 4224-01-10"
"Digital Defense Inc","www.ddifrontline.com","Frontline Vulnerability Manager","sales@ddifrontline.com","Global"," 3763-01-12"
"Experis Finance US LLC","www.experis.com","Payment Card Compliance Services","luis.porres@experis.com","Global"," 3848-01-11"
"Focal Point Data Risk, LLC","focal-point.com/","Information Security & Network Services","acannata@focal-point.com","Global"," 3935-01-12"
"Fujitsu Limited","jp.fujitsu.com/","PCI DSS ASV Scanning Service","security-asv@ml.css.fujitsu.com","Japan"," 5027-01-08"
"GM Security Technologies","www.GMSECTEC.com","GMST PCI ASV Solution","PCI@GMSECTEC.com","Global"," 5084-01-01"
"GMV Soluciones Globales Internet, S.A.U.","www.gmv.com","GestVul","pci@gmv.com","Global"," 5021-01-08"
"Grant Thornton Consulting CJSC - Armenia","www.grantthornton.am","Grant Thornton ASV Solution","ani.hakobyan@am.gt.com;Izabella.khaneyan@am.gt.com","Global"," 5079-01-02"
"Handshake Networking Ltd.","www.handshake.hk","PCI ASV Vulnerability Scanning","rjs@handshake-networking.com","Global"," 3862-01-12"
"Informzaschita","www.infosec.ru","PCI Compliance Scan","pcidss@infosec.ru","Global"," 4159-01-12"
"Internet Security Auditors","www.isecauditors.com","PCIDSS Scan Services","pcidss@isecauditors.com","Global"," 4229-01-11"
"Internet Security Systems a wholly owned IBM Company","www.ibm.com","IBM Security Services - Consultant-led ASV Scan","csodergr@us.ibm.com","Global"," 5087-01-02"
"Jet Infosystems","www.jet.msk.su","Jet Infosystems ASV","pci-dss@jet.su","Global"," 4276-01-10"
"JSC DialogueScience","www.dialognauka.ru/","DialogueScience ASV Scan","info@dialognauka.ru","CEMEA, Russia"," 5065-01-04"
"Kima Projects & Services","www.kimaps.com","ICT Security Assessment Services (ISAS)","isas-pci@kimaps.com","Europe"," 3934-01-12"
"LAC Co., Ltd.","www.lac.co.jp","PCI DSS ASV Scanning Service","sales@lac.co.jp","Asia Pacific"," 5090-01-01"
