"company","website","type","place of business","primary contact","servicing markets","supported languages"
"Adsigo AG","www.adsigo.com","QSA (P2PE), PA-QSA (P2PE)","Germany, Switzerland","Adsigo PCI Team sales@adsigo.com +49 176 1235 0900","Europe","English, German"
"BroadBand Security, Inc. (BBSec)","www.bbsec.co.jp/en/","QSA (P2PE)","Japan, South Korea","Takafumi Shido shido@bbsec.co.jp +81-3-5338-7437","Asia Pacific","English, French, Japanese, Korean"
"Coalfire Systems, Inc","www.coalfire.com","QSA (P2PE), PA-QSA (P2PE)","USA","Tim Winston twinston@coalfire.com T 206-550-0248  Andrew Barratt (Europe) abarratt@coalfire.com T+44 161 464 6301","USA, Europe","English"
"Cognosec GmbH","www.cognosec.com","QSA (P2PE)","Austria","Ilknur Topcu qsa@cognosec.com T-43-1-2122020","Europe","English, German"
"Comsec","www.comsecglobal.com/","QSA (P2PE)","Europe, Israel","PCI@comsecglobal.com (Europe and Israel) T +972-3-923 4646  PCI@comsecglobal.nl]PCI@comsecglobal.nl  (Netherlands) T +31-10-288 1010    PCI@comsecglobal.com (UK) T +44 (0) 2034638727   PCI@comsecglobal.com (Turkey) T +90 216 606 26 72","Europe","Dutch, English, Hebrew, Portuguese, French, Italian, Russian"
"Control Gap","www.controlgap.com","QSA (P2PE), PA-QSA (P2PE)","Canada","Bruce Duff pci@controlgap.com 1-866-644-8808","Canada","English"
"ControlCase, LLC","www.controlcase.com","QSA (P2PE), PA-QSA (P2PE)","Canada, Colombia, Dubai, India, Kuwait, USA","Kishor Vaswani (USA)  kvaswani@controlcase.com  T - +1.703.483.6383   Erik Winkler (United Kingdom) ewinkler@controlcase.com T - +44 (0) 7469249831   Kim Simon (Canada) ksimon@controlcase.com T  1 416 900 1272  Andres Gutierrez (Colombia/Latin America)  agutierrez@controlcase.com  T: +57-13816834  Suresh Dadlani (Asia Pacific &amp; CEMEA)  sdadlani@controlcase.com  T: +91-22-71279034      Afy Merchant (UAE, GCC)  amerchant@controlcase.com  T - +971.508.760.981   Nobuyuki Yagi (Japan)  nyagi@controlcase.com  +81-3-4321-5504   Sizka Ferawati (Indonesia) sferawati@controlcase.com T - +62 8131 9918 179  Rukman Suriawarsita (Indonesia)  rsuriawarsita@controlcase.com  T: +62-21-51111817    Mostafa Ibrahim (Egypt)  mibrahim@controlcase.com  T: +20168843998   Tran Ha Quynh Dao (Vietnam, Cambodia &amp; Laos)  dao@controlcase.com  T : (+84) 979 710 906   Timal Jayamanne (Sri Lanka, Nepal, Maldives, Myanmar)  tjayamanne@controlcase.com  T +94777377107   Mitch Mascardo (Manila, Philippines)  mmascardo@controlcase.com  T: +63.2.7591445      Karolien Holsters (Netherlands, Belgium, Spain, France, Luxembourg) kholsters@controlcase.com  Netherlands : +31-858887600  Belgium : +32-78480234  Spain: +34-911238404  France: +33-975181681  Luxemburg: +352-20881406   Biju John (Kuwait)  bjohn@controlcase.com  +965.99768639   Stevie Heong (Malaysia)   sheong@controlcase.com +60.392121712   Kleber Melo (Brazil)  kmelo@controlcase.com  T: +55.1135005856","CEMEA, Canada, Europe, LAC, USA, Asia Pacific","Arabic, English, Hindi, Japanese, Korean, Russian, Spanish"
"Dara Security","www.darasecurity.com","QSA (P2PE)","USA","Vallery LaBarre valleryl@darasecurity.com T-775-622-5386775-622-5386","USA","English"
"Deiteriy Company Ltd.","www.deiteriy.com","QSA (P2PE), PA-QSA (P2PE)","Russia","Sergey Shustikov  Sergey.Shustikov@deiteriy.com T-7 (812) 361-61-55","CEMEA","Russian, English"
"Europoint Networking","www.europoint.se","QSA (P2PE), PA-QSA (P2PE)","Sweden","Björn Sjöholm bear@europoint.se +46 705 220110","Europe","English, Swedish, Danish, German, Norwegian"
