"company","website","place of business","primary contact","servicing markets","supported languages"	
"2-sec Ltd.","www.2-sec.com","UK, Belgium, Central Europe, Eastern Europe, Finland, France, Ireland, Italy, Luxembourg, Netherlands, Norway, Poland, Portugal, Scotland, Spain, Sweden, Switzerland, Wales, Europe","Luke Vile (UK)  luke.vile@2-sec.com  +44 (0) 207 877 0060  Tim Holman (Europe)  tim.holman@2-sec.com  +44 (0) 207 877 0060","Europe","English, Afrikaans, Arabic, Azerbaijani, Belarusian, Bulgarian, Chinese (Mandarin), Czech, Danish, Dutch, Estonian, Finnish, French, German, Greek, Hebrew, Hindi, Hungarian, Icelandic, Irish, Italian, Japanese, Malay, Norwegian, Persian, Polish, Russain, Slovenian, Spanish, Swedish, Thai, Turkish, Ukrainian, Urdu, Welsh"
"24 Solutions AB","www.24solutions.com","Sweden, Italy, Turkey","Cristiano Iarusci (Europe) pa-qsa@24solutions.com  +39 393 9098775   Amedeo Lupinelli (Italy)  +39 393 9100090  Emrah Elmas (Turkey) +90 533 5565666","Europe","Swedish, English, French, Italian, Spanish, Turkish"
"Adsigo AG","www.adsigo.com","Germany, Switzerland","Adsigo PCI Team sales@adsigo.com +49 176 1235 0900","Europe","English, German"
"atsec (Beijing) Information Technology Co., Ltd","www.atsec.com","China, Germany, Sweden, USA","Yan Liu yan@atsec.com","Asia Pacific","Chinese, English"
"Coalfire Systems, Inc","www.coalfiresystems.com","USA","Dan Fritsche Dan.Fritsche@Coalfire.com 303-554-6333 x 7008","Europe, USA","English"
"Cognit Consult, UAB","www.cognitconsult.net","Lithuania","Aurimas Garsva  aga@cognitconsult.net  370 652 55733","Europe","English, Latvian, Lithuanian, Russian"
"Cognosec GmbH","www.cognosec.com","Austria","Ilknur Topcu qsa@cognosec.com T-+43 664 8873 4019","Europe","French, German, Indian, Spanish, Swedish, Turkish"
"CompliancePoint, Inc.","www.compliancepoint.com","USA","Jeff Brown qsa@compliancepoint.com 800-585-4888","USA","English, Japanese, Spanish"
"Comsec","www.comsecglobal.com","Europe, Israel","PCI@comsecglobal.com (Europe and Israel) T +972-3-923 4646  PCI@comsecglobal.nl  (Netherlands) T +31-10-288 1010   PCI@comsecglobal.com (UK) T +44 (0) 2034638727   PCI@comsecglobal.com (Turkey) T +90 216 606 26 72","Europe","Dutch, English, Hebrew, Russian, Turkish"
"Control Gap","www.controlgap.com","Canada","Bruce Duff  pci@controlgap.com   1-866-644-8808","Canada","English"
