"company","website","place of business","primary contact","servicing markets","supported languages"	
"3B Data Security LLP","www.3bdatasecurity.com","Europe, UK","Benn Morris IR@3BDataSecurity.com +44 (0)1223 298 333","Europe","English"
"atsec (Beijing) Information Technology Co., Ltd","www.atsec.com","China","Yan Liu Yan@atsec.com +86-10-82893001","China","Chinese, English"
"CrowdStrike Services, Inc.","www.crowdstrike.com","USA","Matthew Churchill pfi@crowdstrike.com T- 877-650-5826","Canada, LAC, USA","English"
"Fidelis Cybersecurity Inc.","www.fidelissecurity.com","USA","Ryan Vela ryan.vela@fidelissecurity.com T- 1-832-867-5201","USA","English"
"Foregenix Ltd.","www.foregenix.com","Europe, CEMEA, LAC, USA, UK","Duncan Slater (Europe &amp; CEMEA)  dslater@foregenix.com  T- +44-8453-096232   Chris Hague (USA &amp; LAC) chague@foregenix.com T- +1-508-644-1504   Andrew Bontoft  abontoft@foregenix.com  T- +44-8453-096235","Europe, LAC, USA, CEMEA","English, Afrikaans, Italian, Spanish, Guajarati, Hindi, Punjabi"
"IntaForensics Ltd.","www.intaforensics.com/","UK","Damian Walton  Damian.Walton@intaforensics.com T+44-(0)2477-717-780 T+44 (0) 7595 848630","Europe","English"
"Kroll Cyber Security","www.kroll.com/en-us/cyber-security","USA","Erik Rasmussen erik.rasmussen@kroll.com T - 571 926 4592","Europe, LAC, USA","English"
"Mnemonic","www.mnemonic.no","Norway, Sweden","Kare Presttun pfi@mnemonic.no T-47-410-04-908","Europe","English, Norwegian, Swedish"
"NRI Secure Technologies LTD","www.nri-secure.co.jp/","Japan","NRIS PFI Team pfi@nri-secure.co.jp T 03-6706-0470","Japan","Japanese, English"
"Nuix North America Inc.","www.nuix.com","USA","Chris Pogue chris.pogue@nuix.com T- +1-(844) 684-9734","USA","English"
"Payment Card Forensics, Inc. (PCF)","www.pcf.co.jp","Asia Pacific","Takahisa Noguchi pcissc@pcf.co.jp T-81-3-5463-8333","Asia Pacific","English, Japanese"
"Payment Software Company (PSC)","www.paysw.com","USA, Europe, UK","Tony Bates (US)  PFI@paysw.com 1-408-228-0961 x104 Colin Clark (Europe &amp; UK) PFI@paysw.com 44-0-1753-727-066","Europe, USA","English, French, Spanish"
"Risk-X LLP (fka Pentest Partners Consulting LLP)","www.ptpconsultingllp.com","Europe, UK, CEMEA","David Martin-Woodgate pfi@ptpconsultingllp.com +44 203 040 2990","CEMEA, Europe","English, Spanish"
"SecureWorks, Inc.","www.secureworks.com/capabilities/incident-response","USA, Asia Pacific, Europe","SRC-PFI irservices@secureworks.com T-+1-877-884-1110 +44 (0) 808-234-1203  (Europe)","CEMEA, Europe, USA","English, Russian, Spanish, Japanese"
"Security Risk Management","www.srm-solutions.com","Europe, UK","Brian Fenwick T- +44 (0)3450 21 21 51 Brian.fenwick@srm-solutions.com","USA, Europe","English, Greek, Azeri, Shona, Persian, Turkish, Arabic, Dutch, Italian"
"SecurityMetrics, Inc.","www.securitymetrics.com","USA","Joe Rivest (USA) PFI@securitymetrics.com T +1(801) 705-5656 Ian Eyles (Europe)ieyles@securitymetrics.com		 T +44 (0) 7912 75 79 51","Europe, LAC, USA","English, French, Romanian, Russian, Spanish, Quebecois"
"Sikich LLP","www.403labs.com","USA","Mark Shelhart (USA) MShelhart@sikich.com  262-923-1240   Juan Pablo Cevasco (LAC)  jcevasco@403labs.com  +52 55 53514042","LAC, USA","English, Spanish"
"SISA","www.sisainfosec.com","USA, Asia Pacific, CEMEA","Manish Mahapatra (Asia Pacific) pfi@sisainfosec.com +65-3163 1024 Yogesh Dange (CEMEA) pfi@sisainfosec.com +973-39 229 498 Nitin Bhatnagar (South Asia) pfi@sisainfosec.com +91-98208 85922 Deep Chanda (USA) pfi@sisainfosec.com +1-408-412-5476","USA, Asia Pacific","Arabic, Bahasa Malaysia, Chinese (Traditional), English, French, Japanese, Russian, Spanish"
"Stratica International PTY LTD","www.stratica.com.au","Australia","Richard Harris  +(613) 9660 5701 richard.harris@stratica.com.au","Australia","English"
"Sylint Group","www.usinfosec.com","USA","Serge Jorgensen sdj@usinfosec.com T-1-941-951-6015","USA","English, Spanish"
"Trustwave Holdings, Inc.","www.trustwave.com","Asia Pacific, Canada, CEMEA, Europe, LAC, USA","Trustwave Global 24-hour PFI &amp; Incident Response Hotline: PFI@trustwave.com T+1 (866) 659-9097 Option 5","CEMEA, Canada, Europe, LAC, USA, Asia Pacific","Afrikaans, Arabic, Chinese, Danish, English, French, German, Greek, Hindi, Hungarian, Italian, Japanese, Korean, Portuguese, Russian, Spanish, Swedish, Taiwanese, Urdu"
"Verizon/CyberTrust","www.verizonbusiness.com/Products/security/investigative-response/","Asia Pacific, Canada, CEMEA, Europe, LAC, USA","Chris Novak (N. Amer &amp; Lat. Amer.) Chris.Novak@verizon.com T-+1-914-574-2805 Ashish Thapar (Asia Pacific &amp; Japan)  ashish.thapar@intl.verizon.com T +65-9073-1880  Laurance Dine (CEMEA &amp; Europe) laurance.dine@intl.verizon.com +44(0)7876 845897","Asia Pacific, CEMEA, Europe, LAC, USA, Canada","Afrikaans, Arabic, Cantonese, Chinese, Chinese (Mandarin), Dutch, English, Finnish, French, German, Hebrew, Indian, Indonesian, Italian, Japanese, Korean, Malaysian, Romanian, Russian, Spanish, Swedish"

