"company","website","place of business","primary contact","servicing markets","supported languages"	
"(1) Modosecurity Inc.","www.modosecurity.ca","Canada","Jei Lee  Jei@modosecurity.ca T- +1-416-271-9788","Canada","English"
"1st Secure IT, LLC","www.1stsecureIT.com","USA, Chile, Ecuador, Mexico, Peru, Colombia, Argentina, Costa Rica, Dominican Republic, Panama, Puerto Rico, Uruguay, Venezuela","Alberto Espana aespana@1stsecureit.com T: +1-866-735-3369","LAC, USA","English, Portuguese, Spanish"
"2-sec Ltd.","www.2-sec.com","UK, Belgium, Central Europe, Eastern Europe, Europe, Finland, France, Ireland, Italy, Luxembourg, Netherlands, Scotland, Wales, Norway, Poland, Portugal, Spain, Sweden, Switzerland","Tim Holman (Europe) tim.holman@2-sec.com T-44-(0)8445022066 Julian Dana (Spain, Portugal) julian.dana@2-sec.com  +55-21-968-33350","Europe","English, Afrikaans, Arabic, Bulgarian, Chinese (Mandarin), French, German, Italian, Polish, Russian, Spanish, Portuguese"
"24 Solutions AB","www.24solutions.com","Sweden, Italy","Cristiano Iarusci (Europe) qsa@24solutions.com  +39 393 9098775   Amedeo Lupinelli (Italy)  +39 393 9100090","Europe","English, French, Italian, Spanish, Swedish"
"360 Advanced, Inc.","www.360advanced.com","USA","Eric Ratcliffe eratcliffe@360advanced.com (866) 418-1708 extension 710","USA","English"
"3B Data Security LLP","www.3BDatasecurity.com","UK","Benn Morris Benn.Morris@3BDatasecurity.com T: +44 (0) 1223 298 333","Europe","English"
"7Safe Limited","www.7safe.com","UK","Lisanne Mitchell  pciinfo@7safe.com T: 44-0-870 600 1667","Europe","English, German, Spanish"
"@ Mediaservice.net S.R.L.","www.mediaservice.net","Italy","Marco Ivaldi pci@mediaservice.net +390113272100","Europe","English, Italian"
"A1PlusSoft, Inc.","www.a1plussoft.com/","USA","Balaji Rengamannar brengamannar@a1plussoft.com 630-935-6938","USA","English, Hindi, Spanish, Tamil, Telugu"
"A2 Secure Technologias Informatica, Sociedad Ltd.","www.a2secure.com","Spain","Richard de Nijs rdn@a2secure.com T - 0034-933945600","Europe","English, Spanish, Catalan"
"Abrams Security Group, LLC","www.abramsSecurity.com","USA","Jeff Schlauder Jeff.Schlauder@AbramsSecurity.com T-866-658-9511","USA","English"
"AccessIT Group, Inc","www.accessitgroup.com","USA","Peter Mollett petem@accessitgroup.com T- 610-783-5200","USA","English"
"Accretive Solutions Operating Corp.","www.accretivesolutions.com","USA","Maria Martindale mmartindale@accretivesolutions.com T- 1-214-739-1553","USA","English"
"Accudata Systems","www.accudatasystems.com","USA","Matt Johnson pciqsa@accudatasystems.com T  800-246-4908","USA","English"
"Adsigo AG","www.adsigo.com","Germany, Switzerland","Adsigo PCI Team sales@adsigo.com +49 176 1235 0900","CEMEA, Europe","English, German"
"Aeris Secure","www.AerisSecure.com","USA","Michael Stiles qsa@aerissecure.com T 214.556.6613","Singapore, USA","English, Portuguese, Spanish, Thai"
"AGES Systems Gelderfarenit PTE LTD","www.ages-sg.com","Singapore","Francis Goh  francis@ages-sg.com T+65 9781 7311","Asia Pacific","English, Japanese, Mandarin, Bahasa Indonesia, Bahasa Malaysia, Cantonese, Chinese, Chinese (Mandarin), Chinese (Simplified), Chinese (Traditional), Indonesian, Malaysian, Taiwanese, Thai"
"Agio, LLC","www.agio.com/PCI","USA","Chris Harper  chris.harper@agio.com T- (919) 880-4038","USA","English"
