"Application Vendor","Website","Payment Application","Version Number","Application Type","Target Market","Reference Number","Validated According To","Deployment Notes","Revalidate Date","Expiry Date","Validated by PA-QSA","Description"
""TECS" telecommunications & e-commerce solutions GmbH","www.tecs.at/","TECS Payment System","8.999.89.1.216","Payment Gateway/ Switch","Processors","13-03.00835.001","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","24 Jun 2016","28 Oct 2016","TUV SUD Sec-IT GmbH","The TECS Payment System is a high-speed payment integration gateway with a centralized business logic. The TECS Payment Systems consists of the three component applications TECS Engine v8.999.89.1.216, TECS Merchant Cockpit v8.999.4.2.23 and TECS XML v8.999.2.0.1."
""TECS" telecommunications & e-commerce solutions GmbH","www.tecs.at/","TECS Payment System","10.000.xx","Payment Gateway/ Switch","Processors","16-03.00835.002","PA-DSS v3.2","Acceptable for New Deployments","2 Feb 2019","28 Oct 2022","Adsigo AG","The TECS Payment System is a high-speed payment integration gateway with a centralized business logic."
".CT Tech Inc.","","ParkNet","3.1.0","POS Specialized","Parking solution for airports, hospitals, large institutions, shopping center, different industries and municipalities.","14-06.00929.001","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","28 Oct 2016","28 Oct 2016","TELUS Security Solutions","ParkNet is a complete standalone solution for automated parking management and access control used by airports, hospitals, large institutions, shopping center, different industries and municipalities."
"/n software inc.","www.nsoftware.com","Direct Payment Integrator","6.0","Payment Middleware","This application is sold to merchants and software developers.  The customer channel that this product is designed for brick-and-motor (card present) POS devices.","13-02.00730.011","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","28 Oct 2016","28 Oct 2016","K3DES, LLC","Direct Payment Integrator is middleware for other payment applications. Its purpose is to receive transactions from another payment application, format the transaction details in a manner required by the supported payment processor, and then communicate the transaction to the processor."
"/n software inc.","www.nsoftware.com","E-Payment Integrator","3","Payment Middleware","Software Developers","09-02.00730.001","PABP 1.4","Acceptable only for Pre-Existing Deployments","17 Jun 2009","2 Mar 2011","K3DES, LLC","Suites of software components for integrating payment applications with payment processors"
"/n software inc.","www.nsoftware.com","E-Payment Integrator","4","Payment Middleware","Software Developers","09-02.00730.001.aaa","PABP 1.4","Acceptable only for Pre-Existing Deployments","2 Dec 2009","2 Mar 2011","K3DES, LLC","Suites of software components for integrating payment applications with payment processors"
"/n software inc.","www.nsoftware.com","E-Payment Integrator","V5","Payment Middleware","independent software vendors","11-02.00730.008","PA-DSS v1.2","Acceptable only for Pre-Existing Deployments","28 Oct 2013","28 Oct 2013","K3DES, LLC","The E-Payment Integrator is a middleware application supporting POS and other payment applications. Its purpose is to receive transactions from another payment application, format the transaction details in a manner required by the supported payment processor, and then communicate the transaction to the pro-cessor. It does not perform any payment processing or autorization."
"/n software inc.","www.nsoftware.com","E-Payment Integrator","6.0","Payment Middleware","This application is sold to merchants and software developers.  The customer channel that this product is designed for brick-and-motor (card present) POS devises.","13-02.00730.010","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","28 Oct 2016","28 Oct 2016","K3DES, LLC","E-Payment Integrator is middleware for other payment applications. Its purpose is to receive transactions from another payment ap-plication, format the transaction details in a manner required by the supported payment processor, and then communicate the trans-action to the processor."
"/n software inc.","www.nsoftware.com","FDMS Integrator","5","Payment Middleware","","09-02.00730.004","PABP 1.4","Acceptable only for Pre-Existing Deployments","2 Dec 2009","2 Mar 2011","K3DES, LLC","Suites of software components for integrating payment applications with payment processors"
"/n software inc.","www.nsoftware.com","FDMS Integrator","2","Payment Middleware","Software Developers","09-02.00730.004.aaa","PABP 1.4","Acceptable only for Pre-Existing Deployments","17 Jun 2009","2 Mar 2011","K3DES, LLC","Suites of software components for integrating payment applications with payment processors"
"/n software inc.","www.nsoftware.com","FDMS Integrator","3","Payment Middleware","independent software vendors","11-02.00730.007","PA-DSS v1.2","Acceptable only for Pre-Existing Deployments","28 Oct 2013","28 Oct 2013","K3DES, LLC","The FDMS Integrator is a middleware application supporting POS and other payment applications."
"/n software inc.","www.nsoftware.com","Paymentech Integrator","1","Payment Middleware","","09-02.00730.003","PABP 1.4","Acceptable only for Pre-Existing Deployments","2 Dec 2009","2 Mar 2011","K3DES, LLC","Suites of software components for integrating payment applications with payment processors"
"/n software inc.","www.nsoftware.com","Paymentech Integrator","6","Payment Middleware","Software Developers","09-01.00730.003.aaa","PABP 1.4","Acceptable only for Pre-Existing Deployments","17 Jun 2009","2 Mar 2011","K3DES, LLC","Suites of software components for integrating payment applications with payment processors"
"/n software inc.","www.nsoftware.com","Paymentech Integrator","6","Payment Middleware","independent software vendor","11-02.00730.006","PA-DSS v1.2","Acceptable only for Pre-Existing Deployments","28 Oct 2013","28 Oct 2013","K3DES, LLC","The Paymentech Integrator is a middleware application supporting POS and other payment applications.    It does not perform payment processing or authorizations."
"/n software inc.","www.nsoftware.com","TSYS Integrator","1","Payment Middleware","","09-02.00730.002","PABP 1.4","Acceptable only for Pre-Existing Deployments","2 Dec 2009","2 Mar 2011","K3DES, LLC","Suites of software components for integrating payment applications with payment processors"
"/n software inc.","www.nsoftware.com","TSYS Integrator","6","Payment Middleware","Software Developers","09-02.00730.002.aaa","PABP 1.4","Acceptable only for Pre-Existing Deployments","17 Jun 2009","2 Mar 2011","K3DES, LLC","Suites of software components for integrating payment applications with payment processors"
"/n software inc.","www.nsoftware.com","TSYS Integrator","6","Payment Middleware","Independent Software Vendors","11-02.00730.005","PA-DSS v1.2","Acceptable only for Pre-Existing Deployments","28 Oct 2013","28 Oct 2013","K3DES, LLC","The TSYS Integrator is a middleware application supporting POS and other payment applications."
