Region,Initial,Annual,QSAInitial,QSARequal
Asia Pacific,22000,11000,2750,1650
Australia,5500,5500,2750,1650
Bangladesh,5500,5500,2750,1650
Canada,22000,11000,2750,1650
CEMEA,11000,5500,2750,1650
China,5500,5500,2750,1650
Europe,22000,11000,3550,1650
India,5500,5500,2750,1650
Indonesia,5500,5500,2750,1650
Japan,5500,5500,2750,2200
LAC,11000,5500,2750,1650
Marshall Islands,5500,5500,2750,1650
Myanmar,5500,5500,2750,1650
New Zealand,5500,5500,2750,1650
Philippines,5500,5500,2750,1650
Singapore,5500,5500,2750,1650
USA,22000,11000,2750,1650
Vietnam,5500,5500,2750,1650
